variable_name,pressure,temperature,wind_speed,roughness_length
height,0,2,10,0
2010-01-01 00:00:00+01:00,98405.7,317.6,5.32697,0.15
2010-01-01 01:00:00+01:00,98382.7,317.6,5.46199,0.15
2010-01-01 02:00:00+01:00,98362.9,317.61,5.67899,0.15
2010-01-01 03:00:00+01:00,98340.9,317.63,5.68466,0.15
2010-01-01 04:00:00+01:00,98336.8,317.63,5.38084,0.15
2010-01-01 05:00:00+01:00,98334.2,317.61,5.28286,0.15
2010-01-01 06:00:00+01:00,98324.6,317.55,5.43709,0.15
2010-01-01 07:00:00+01:00,98345.1,317.51,5.49162,0.15
2010-01-01 08:00:00+01:00,98394.9,317.48,5.52631,0.15
2010-01-01 09:00:00+01:00,98446.6,317.67,5.57199,0.15
2010-01-01 10:00:00+01:00,98486,317.95,5.38384,0.15
2010-01-01 11:00:00+01:00,98568,318.27,5.31816,0.15
2010-01-01 12:00:00+01:00,98609.2,318.49,5.92008,0.15
2010-01-01 13:00:00+01:00,98716.8,318.61,5.50331,0.15
2010-01-01 14:00:00+01:00,98834.5,318.56,5.16204,0.15
2010-01-01 15:00:00+01:00,98911.4,318.38,4.94334,0.15
2010-01-01 16:00:00+01:00,98999,318.22,4.62725,0.15
2010-01-01 17:00:00+01:00,99083,318.11,4.20744,0.15
2010-01-01 18:00:00+01:00,99166.6,317.98,3.96008,0.15
2010-01-01 19:00:00+01:00,99249.6,317.8,4.18155,0.15
2010-01-01 20:00:00+01:00,99299.1,317.44,4.38756,0.15
2010-01-01 21:00:00+01:00,99355,316.96,4.35175,0.15
2010-01-01 22:00:00+01:00,99414.6,316.48,4.19387,0.15
2010-01-01 23:00:00+01:00,99489.6,316.09,3.95468,0.15
2010-01-02 00:00:00+01:00,99571.5,315.77,3.80391,0.15
2010-01-02 01:00:00+01:00,99650.6,315.5,3.75341,0.15
2010-01-02 02:00:00+01:00,99725.8,315.17,3.68452,0.15
2010-01-02 03:00:00+01:00,99808.4,314.52,3.64885,0.15
2010-01-02 04:00:00+01:00,99902.3,313.77,3.64895,0.15
2010-01-02 05:00:00+01:00,99984,312.95,3.26095,0.15
2010-01-02 06:00:00+01:00,100051,312.39,2.82002,0.15
2010-01-02 07:00:00+01:00,100127,311.87,2.63831,0.15
2010-01-02 08:00:00+01:00,100213,311.44,2.60467,0.15
2010-01-02 09:00:00+01:00,100301,311.65,2.48291,0.15
2010-01-02 10:00:00+01:00,100361,311.92,2.27491,0.15
2010-01-02 11:00:00+01:00,100411,312.18,2.05207,0.15
2010-01-02 12:00:00+01:00,100456,312.4,1.84496,0.15
2010-01-02 13:00:00+01:00,100502,312.39,1.71002,0.15
2010-01-02 14:00:00+01:00,100544,312.11,1.65912,0.15
2010-01-02 15:00:00+01:00,100588,311.71,1.85037,0.15
2010-01-02 16:00:00+01:00,100623,311.44,2.05926,0.15
2010-01-02 17:00:00+01:00,100659,311.92,2.19697,0.15
2010-01-02 18:00:00+01:00,100681,312.12,2.36407,0.15
2010-01-02 19:00:00+01:00,100680,312.12,2.68317,0.15
2010-01-02 20:00:00+01:00,100665,312.11,2.88922,0.15
2010-01-02 21:00:00+01:00,100666,313.05,2.82869,0.15
2010-01-02 22:00:00+01:00,100671,313.87,2.90343,0.15
